"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SF_SKU";"SPICEPREFIX";
"+5V";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";
"C1";"47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"C";
"C3";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";
"C4";"47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"C";
"C5";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";
"C6";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";
"C7";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";
"GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";
"IC1";"TLC2272";"TL072D";"SO08";"OP AMP";"";"";"";"";"";"";"0";"";"";
"IC2";"ATTINY841-SSU";"ATTINY841-SSU";"SOIC127P600X175-14N";"MCU 8-bit ATtiny AVR 8KB Flash Atmel ATTINY841-SSU, 8bit AVR Microcontroller, 16MHz, 8 kB Flash, 14-Pin SOIC";"MCU 8-bit ATtiny AVR 8KB Flash Atmel ATTINY841-SSU, 8bit AVR Microcontroller, 16MHz, 8 kB Flash, 14-Pin SOIC";"1.75mm";"Microchip";"ATTINY841-SSU";"556-ATTINY841-SSU";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/ATTINY841-SSU?qs=HVbQlW5zcXVaBIh573n%252Bhw%3D%3D";"";"";"";
"LED+";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";
"LED-";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";
"PIN6";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";
"PIN6_2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";
"Q1";"MMBT5088LT1G";"MMBT5088LT1G";"SOT95P237X111-3N";"ON Semi MMBT5088LT1G NPN Bipolar Transistor, 50 mA, 30 V, 3-Pin SOT-23";"ON Semi MMBT5088LT1G NPN Bipolar Transistor, 50 mA, 30 V, 3-Pin SOT-23";"1.11mm";"ON Semiconductor";"MMBT5088LT1G";"863-MMBT5088LT1G";"https://www.mouser.co.uk/ProductDetail/onsemi/MMBT5088LT1G?qs=HVbQlW5zcXW4Her9wnPvIg%3D%3D";"";"";"";
"Q2";"MMBT5088LT1G";"MMBT5088LT1G";"SOT95P237X111-3N";"ON Semi MMBT5088LT1G NPN Bipolar Transistor, 50 mA, 30 V, 3-Pin SOT-23";"ON Semi MMBT5088LT1G NPN Bipolar Transistor, 50 mA, 30 V, 3-Pin SOT-23";"1.11mm";"ON Semiconductor";"MMBT5088LT1G";"863-MMBT5088LT1G";"https://www.mouser.co.uk/ProductDetail/onsemi/MMBT5088LT1G?qs=HVbQlW5zcXW4Her9wnPvIg%3D%3D";"";"";"";
"R1";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R2";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R3";"1k5";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R4";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R5";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R6";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R7";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R8";"6k8";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R9";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R10";"RLED";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R11";"4k7";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R12";"47k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R13";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R14";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"R15";"1k5";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";
"S1";"ENCODER-SWITCH";"ENCODER-SWITCH";"ROTARY_ENC_PLAIN";"Rotary Encoder w/ Select Switch";"";"";"";"";"";"";"";"COM-09117";"";
"TAP_SW_A";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";
"TAP_SW_B";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";
